Phone_Name,Price,Battery_Info,Processor_Info,Display_Info,Camera_Info,OS_Info,Phone_Score,Over_All_Comment
Xiaomi 15,"Rs.64,998","5240 mAh,Hyper Charging,USB Type-C Port","Octa core (4.32 GHz, Dual Core + 3.53 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.36 inches (16.15 cm),FHD+ LTPO OLED,120 Hz Refresh Rate","50 MP + 50 MP + 50 MP Triple Primary Cameras,Dual-color LED Flash,32 MP Front Camera",,90%,
Samsung Galaxy S25 Ultra,"Rs.129,999","5000 mAh,Fast Charging,USB Type-C Port","Octa core (4.47 GHz, Dual Core + 3.5 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.9 inches (17.53 cm),QHD+ Dynamic AMOLED 2x,120 Hz Refresh Rate","200 + 50 + 10 + 50 MP Quad Primary Cameras,LED Flash,12 MP Front Camera",,99%,
vivo X200 Pro,"Rs.86,270","6000 mAh,Flash Charging,USB Type-C Port","Octa core (3.626 GHz, Single Core + 3.3 GHz, Tri core + 2.4 GHz, Quad core),MediaTek Dimensity 9400,16 GB RAM","6.78 inches (17.22 cm),FHD+ LTPO AMOLED,120 Hz Refresh Rate","50 MP + 50 MP + 200 MP Triple Primary Cameras,LED Flash,32 MP Front Camera",,96%,
OPPO Find X8 Pro,"Rs.89,999","5910 mAh,Super VOOC Charging,USB Type-C Port","Octa core (3.63 GHz, Single Core + 3.3 GHz, Tri core + 2.4 GHz, Quad core),MediaTek Dimensity 9400,16 GB RAM","6.78 inches (17.22 cm),FHD+ ProXDR LTPO,120 Hz Refresh Rate","50 + 50 + 50 + 50 MP Quad Primary Cameras,LED Flash,32 MP Front Camera",,97%,
Xiaomi 15 Ultra,"Rs.109,998","5410 mAh,Hyper Charging,USB Type-C Port","Octa core (4.32 GHz, Dual Core + 3.53 GHz, Hexa Core),Snapdragon 8 Elite,16 GB RAM","6.73 inches (17.09 cm),QHD+ LTPO AMOLED,120 Hz Refresh Rate","50 + 50 + 50 + 200 MP Quad Primary Cameras,Dual LED Flash,32 MP Front Camera",,99%,"""The best phone in terms of specifications"""
vivo X200,"Rs.65,999","5800 mAh,Flash Charging,USB Type-C Port","Octa core (3.626 GHz, Single Core + 3.3 GHz, Tri core + 2.4 GHz, Quad core),MediaTek Dimensity 9400,12 GB RAM","6.67 inches (16.94 cm),FHD+ AMOLED,120 Hz Refresh Rate","50 MP + 50 MP + 50 MP Triple Primary Cameras,LED Flash,32 MP Front Camera",,95%,
Apple iPhone 16 Pro Max,"Rs.134,900","4685 mAh,Fast Charging,USB Type-C Port","Hexa Core (4.05 GHz, Dual Core + 2.42 GHz, Quad core),Apple A18 Pro,8 GB RAM","6.9 inches (17.53 cm),FHD+ Super Retina XDR,120 Hz Refresh Rate","48 MP + 48 MP + 12 MP Triple Primary Cameras,Dual-color LED Flash,12 MP Front Camera",,99%,
Apple iPhone 16,"Rs.73,000","3561 mAh,Fast Charging,USB Type-C Port","Hexa Core (4.04 GHz, Dual Core + 2.2 GHz, Quad core),Apple A18,8 GB RAM","6.1 inches (15.49 cm),FHD+ Super Retina XDR,60 Hz Refresh Rate","48 MP + 12 MP Dual Primary Cameras,Dual-color LED Flash,12 MP Front Camera",,94%,
OnePlus 13,"Rs.69,997","6000 mAh,Super VOOC Charging,USB Type-C Port","Octa core (4.32 GHz, Dual Core + 3.53 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.82 inches (17.32 cm),QHD+ LTPO AMOLED,120 Hz Refresh Rate","50 MP + 50 MP + 50 MP Triple Primary Cameras,LED Flash,32 MP Front Camera",,98%,
Motorola Razr 60 Ultra,"Rs.99,999","4700 mAh,Turbo Power Charging,USB Type-C Port","Octa core (4.32 GHz, Dual Core + 3.53 GHz, Hexa Core),Snapdragon 8 Elite,16 GB RAM","6.96 inches (17.68 cm),1224x2992 px LTPO AMOLED,165 Hz Refresh Rate","50 MP + 50 MP Dual Primary Cameras,LED Flash,50 MP Front Camera",,97%,"""The best Motorola phone in terms of specifications"""
