Phone_Name,Price,Battery_Info,Processor_Info,Display_Info,Camera_Info,OS_Info,Phone_Score,Over_All_Comment
Samsung Galaxy S25 128GB,"Rs.74,999","4000 mAh,Fast Charging,USB Type-C Port","Octa core (4.47 GHz, Dual Core + 3.5 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.2 inches (15.75 cm),FHD+ Dynamic AMOLED 2x,120 Hz Refresh Rate","50 MP + 12 MP + 10 MP Triple Primary Cameras,LED Flash,12 MP Front Camera",Android v15,98%,
Samsung Galaxy S25 512GB,"Rs.92,999","4000 mAh,Fast Charging,USB Type-C Port","Octa core (4.47 GHz, Dual Core + 3.5 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.2 inches (15.75 cm),FHD+ Dynamic AMOLED 2x,120 Hz Refresh Rate","50 MP + 12 MP + 10 MP Triple Primary Cameras,LED Flash,12 MP Front Camera",Android v15,99%,
Samsung Galaxy S25,"Rs.80,999","4000 mAh,Fast Charging,USB Type-C Port","Octa core (4.47 GHz, Dual Core + 3.5 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.2 inches (15.75 cm),FHD+ Dynamic AMOLED 2x,120 Hz Refresh Rate","50 MP + 12 MP + 10 MP Triple Primary Cameras,LED Flash,12 MP Front Camera",Android v15,98%,
Samsung Galaxy S25 Plus 512GB,"Rs.111,999","4900 mAh,Fast Charging,USB Type-C Port","Octa core (4.47 GHz, Dual Core + 3.5 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.7 inches (17.02 cm),QHD+ Dynamic AMOLED 2x,120 Hz Refresh Rate","50 MP + 12 MP + 10 MP Triple Primary Cameras,LED Flash,12 MP Front Camera",Android v15,99%,
Samsung Galaxy S25 Plus,"Rs.99,999","4900 mAh,Fast Charging,USB Type-C Port","Octa core (4.47 GHz, Dual Core + 3.5 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.7 inches (17.02 cm),QHD+ Dynamic AMOLED 2x,120 Hz Refresh Rate","50 MP + 12 MP + 10 MP Triple Primary Cameras,LED Flash,12 MP Front Camera",Android v15,99%,
Samsung Galaxy S25 Ultra 512GB,"Rs.141,999","5000 mAh,Fast Charging,USB Type-C Port","Octa core (4.47 GHz, Dual Core + 3.5 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.9 inches (17.53 cm),QHD+ Dynamic AMOLED 2x,120 Hz Refresh Rate","200 + 50 + 10 + 50 MP Quad Primary Cameras,LED Flash,12 MP Front Camera",Android v15,99%,
Samsung Galaxy S25 Ultra,"Rs.129,999","5000 mAh,Fast Charging,USB Type-C Port","Octa core (4.47 GHz, Dual Core + 3.5 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.9 inches (17.53 cm),QHD+ Dynamic AMOLED 2x,120 Hz Refresh Rate","200 + 50 + 10 + 50 MP Quad Primary Cameras,LED Flash,12 MP Front Camera",Android v15,99%,
OnePlus 13 1TB,"Rs.89,997","6000 mAh,Super VOOC Charging,USB Type-C Port","Octa core (4.32 GHz, Dual Core + 3.53 GHz, Hexa Core),Snapdragon 8 Elite,24 GB RAM","6.82 inches (17.32 cm),QHD+ LTPO AMOLED,120 Hz Refresh Rate","50 MP + 50 MP + 50 MP Triple Primary Cameras,LED Flash,32 MP Front Camera",Android v15,98%,"""The phone with the highest RAM"""
iQOO 13 5G 512GB,"Rs.59,999","6000 mAh,Flash Charging,USB Type-C Port","Octa core (4.32 GHz, Dual Core + 3.53 GHz, Hexa Core),Snapdragon 8 Elite,16 GB RAM","6.82 inches (17.32 cm),QHD+ LTPO AMOLED,144 Hz Refresh Rate","50 MP + 50 MP + 50 MP Triple Primary Cameras,Ring LED,32 MP Front Camera",Android v15,98%,
iQOO 13 5G,"Rs.54,999","6000 mAh,Flash Charging,USB Type-C Port","Octa core (4.32 GHz, Dual Core + 3.53 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM","6.82 inches (17.32 cm),QHD+ LTPO AMOLED,144 Hz Refresh Rate","50 MP + 50 MP + 50 MP Triple Primary Cameras,Ring LED,32 MP Front Camera",Android v15,98%,
